id,pack_id,track_title,file_path,file_size,file_format,bit_depth,sample_rate,track_order,created_at
0f0def70-2599-49b7-953a-28b1b291aeb7,vol-1,Khatta Flow (THE 14.20 EDIT),vol-1/Khatta Flow (THE 14.20 EDIT) - HQ.wav,42000000,WAV,24,48000,2,2025-10-23 13:12:10.706818+00
235b69f5-34fa-4d5a-9fd2-6cd73a8a03dd,vol-1,Pappu Can't Dance (THE 14.20 EDIT),vol-1/Pappu Can't Dance (THE 14.20 EDIT) - HQ.wav,48000000,WAV,24,48000,3,2025-10-23 13:12:10.706818+00
462e34e3-d4c5-42be-8161-ea92b79cb9ba,vol-2,Ramta Jogi (THE 14.20 EDIT),vol-2/Ramta Jogi (THE 14.20 EDIT) - HQ.wav,47000000,WAV,24,48000,3,2025-10-23 13:12:10.706818+00
4a93efb5-bd80-4d22-897f-0c0d336c9928,vol-2,Make Some Noise For The Desi Boyz (THE 14.20 EDIT),vol-2/Make Some Noise For The Desi Boyz (THE 14.20 EDIT) - HQ.wav,44000000,WAV,24,48000,2,2025-10-23 13:12:10.706818+00
84a391a5-6f31-4373-a9bd-9acd5cfcad28,vol-1,Aao Huzoor Tumko (THE 14.20 EDIT),vol-1/Aao Huzoor Tumko (THE 14.20 EDIT) - HQ.wav,45000000,WAV,24,48000,1,2025-10-23 13:12:10.706818+00
b2c57b64-38cd-4278-af74-4b0bef90eb3f,vol-2,Ainvayi Ainvayi (THE 14.20 EDIT),vol-2/Ainvayi Ainvayi (THE 14.20 EDIT) - HQ.wav,46000000,WAV,24,48000,1,2025-10-23 13:12:10.706818+00
